nuclides,reactions,groups,xs
Gd157,fission,35,0.0
Gd157,fission,36,0.0
Gd157,fission,37,0.0
Gd157,fission,38,0.0
Gd157,fission,39,0.0
Gd157,fission,40,0.0
Gd156,"(n,gamma)",1,3.0457599059559475
Gd156,"(n,gamma)",2,1.9142082723894702
Gd156,"(n,gamma)",3,1.510002428800935
Gd156,"(n,gamma)",4,1.2825957450542567
Gd156,"(n,gamma)",5,1.096889849953155
Gd156,"(n,gamma)",6,0.9586370677996667
Gd156,"(n,gamma)",7,0.8360824571297341
Gd156,"(n,gamma)",8,0.7219823880784784
Gd156,"(n,gamma)",9,0.6457636366803596
Gd156,"(n,gamma)",10,0.5791706780549388
Gd156,"(n,gamma)",11,0.515744369008293
Gd156,"(n,gamma)",12,0.42552700301085655
Gd156,"(n,gamma)",13,0.34433966251002207
Gd156,"(n,gamma)",14,0.3112823764228823
Gd156,"(n,gamma)",15,0.30196493470404867
Gd156,"(n,gamma)",16,0.2970009741428392
Gd156,"(n,gamma)",17,0.28861717959675876
Gd156,"(n,gamma)",18,0.2810631067940094
Gd156,"(n,gamma)",19,0.2705260273295681
Gd156,"(n,gamma)",20,0.2548149125043065
Gd156,"(n,gamma)",21,0.23581315373511796
Gd156,"(n,gamma)",22,0.2192719116183801
Gd156,"(n,gamma)",23,0.2047207679992101
Gd156,"(n,gamma)",24,0.1875521989061002
Gd156,"(n,gamma)",25,0.17331187131322537
Gd156,"(n,gamma)",26,0.15188142052876147
Gd156,"(n,gamma)",27,0.15508243276625622
Gd156,"(n,gamma)",28,0.36437722551086854
Gd156,"(n,gamma)",29,83.58392052567115
Gd156,"(n,gamma)",30,23.786136979927704
Gd156,"(n,gamma)",31,7.985822876476711
Gd156,"(n,gamma)",32,1.3138625607867789
Gd156,"(n,gamma)",33,0.5965986160471332
Gd156,"(n,gamma)",34,0.18995309417970432
Gd156,"(n,gamma)",35,0.16089699548964334
Gd156,"(n,gamma)",36,0.19400277947622616
Gd156,"(n,gamma)",37,0.1149448183998986
Gd156,"(n,gamma)",38,0.04200099838742656
Gd156,"(n,gamma)",39,0.009937262057763687
Gd156,"(n,gamma)",40,0.001758731026642869
Gd156,fission,1,0.0
Gd156,fission,2,0.0
Gd156,fission,3,0.0
Gd156,fission,4,0.0
Gd156,fission,5,0.0
Gd156,fission,6,0.0
Gd156,fission,7,0.0
Gd156,fission,8,0.0
Gd156,fission,9,0.0
Gd156,fission,10,0.0
Gd156,fission,11,0.0
Gd156,fission,12,0.0
Gd156,fission,13,0.0
Gd156,fission,14,0.0
Gd156,fission,15,0.0
Gd156,fission,16,0.0
Gd156,fission,17,0.0
Gd156,fission,18,0.0
Gd156,fission,19,0.0
Gd156,fission,20,0.0
Gd156,fission,21,0.0
Gd156,fission,22,0.0
Gd156,fission,23,0.0
Gd156,fission,24,0.0
Gd156,fission,25,0.0
Gd156,fission,26,0.0
Gd156,fission,27,0.0
Gd156,fission,28,0.0
Gd156,fission,29,0.0
Gd156,fission,30,0.0
Gd156,fission,31,0.0
Gd156,fission,32,0.0
Gd156,fission,33,0.0
Gd156,fission,34,0.0
Gd156,fission,35,0.0
Gd156,fission,36,0.0
Gd156,fission,37,0.0
Gd156,fission,38,0.0
Gd156,fission,39,0.0
Gd156,fission,40,0.0
U234,"(n,gamma)",1,173.66979095143995
U234,"(n,gamma)",2,107.87412211006838
U234,"(n,gamma)",3,84.09424348045191
U234,"(n,gamma)",4,70.56751961982678
U234,"(n,gamma)",5,59.40013488031229
U234,"(n,gamma)",6,50.98583128467169
U234,"(n,gamma)",7,43.417012523747616
U234,"(n,gamma)",8,36.26281395090746
U234,"(n,gamma)",9,31.40828682012384
U234,"(n,gamma)",10,27.11369398573664
U234,"(n,gamma)",11,22.977754524570674
U234,"(n,gamma)",12,17.05029572456736
U234,"(n,gamma)",13,11.784559926527598
U234,"(n,gamma)",14,9.742329729869104
U234,"(n,gamma)",15,9.187454078095227
U234,"(n,gamma)",16,8.896406877902459
U234,"(n,gamma)",17,8.41446018145028
U234,"(n,gamma)",18,7.988684610555006
U234,"(n,gamma)",19,7.41405381429348
U234,"(n,gamma)",20,6.620965692647843
U234,"(n,gamma)",21,5.791623600776664
U234,"(n,gamma)",22,5.234398128596071
U234,"(n,gamma)",23,5.0318662354003285
U234,"(n,gamma)",24,5.634467723179282
U234,"(n,gamma)",25,9.254502068747945
U234,"(n,gamma)",26,615.1590940740422
U234,"(n,gamma)",27,0.3327706729766072
U234,"(n,gamma)",28,2.669146366748792
U234,"(n,gamma)",29,46.13905317550819
U234,"(n,gamma)",30,26.448636968979496
U234,"(n,gamma)",31,5.676309633908286
U234,"(n,gamma)",32,1.189273193415179
U234,"(n,gamma)",33,0.5654996321433114
U234,"(n,gamma)",34,0.19848886256379797
