nuclides,reactions,groups,xs
N14,"(n,gamma)",3,0.027210946013669857
N14,"(n,gamma)",4,0.018477675590236935
N14,"(n,gamma)",5,0.009845745390165642
N14,"(n,gamma)",6,0.0014073675201407782
N14,"(n,gamma)",7,4.8233057857792325e-05
N14,"(n,gamma)",8,3.8194297528388754e-05
N14,"(n,2n)",1,0.0
N14,"(n,2n)",2,0.0
N14,"(n,2n)",3,0.0
N14,"(n,2n)",4,0.0
N14,"(n,2n)",5,0.0
N14,"(n,2n)",6,0.0
N14,"(n,2n)",7,0.0
N14,"(n,2n)",8,1.5426819088320742e-06
N14,"(n,p)",1,1.760836264442003
N14,"(n,p)",2,0.985925971694275
N14,"(n,p)",3,0.663783626290944
N14,"(n,p)",4,0.4509752803225757
N14,"(n,p)",5,0.24039862101916484
N14,"(n,p)",6,0.03425400667046916
N14,"(n,p)",7,0.017254571954050293
N14,"(n,p)",8,0.03926966260537291
N14,"(n,a)",1,0.0
N14,"(n,a)",2,0.0
N14,"(n,a)",3,0.0
N14,"(n,a)",4,0.0
N14,"(n,a)",5,0.0
N14,"(n,a)",6,0.0
N14,"(n,a)",7,1.6787971772567958e-06
N14,"(n,a)",8,0.10946658030276596
N14,"(n,3n)",1,0.0
N14,"(n,3n)",2,0.0
N14,"(n,3n)",3,0.0
N14,"(n,3n)",4,0.0
N14,"(n,3n)",5,0.0
N14,"(n,3n)",6,0.0
N14,"(n,3n)",7,0.0
N14,"(n,3n)",8,0.0
N14,"(n,4n)",1,0.0
N14,"(n,4n)",2,0.0
N14,"(n,4n)",3,0.0
N14,"(n,4n)",4,0.0
N14,"(n,4n)",5,0.0
N14,"(n,4n)",6,0.0
N14,"(n,4n)",7,0.0
N14,"(n,4n)",8,0.0
N14,fission,1,0.0
N14,fission,2,0.0
N14,fission,3,0.0
N14,fission,4,0.0
N14,fission,5,0.0
N14,fission,6,0.0
N14,fission,7,0.0
N14,fission,8,0.0
N15,"(n,gamma)",1,2.3160825676142155e-05
N15,"(n,gamma)",2,1.2994684928153058e-05
N15,"(n,gamma)",3,8.763627030013983e-06
N15,"(n,gamma)",4,5.970120021079363e-06
N15,"(n,gamma)",5,3.194504729850782e-06
N15,"(n,gamma)",6,1.1969587732776612e-06
N15,"(n,gamma)",7,1.2274689015106512e-05
N15,"(n,gamma)",8,1.9638634896892967e-05
N15,"(n,2n)",1,0.0
N15,"(n,2n)",2,0.0
N15,"(n,2n)",3,0.0
N15,"(n,2n)",4,0.0
N15,"(n,2n)",5,0.0
N15,"(n,2n)",6,0.0
N15,"(n,2n)",7,0.0
N15,"(n,2n)",8,2.5334903697277168e-05
N15,"(n,p)",1,0.0
N15,"(n,p)",2,0.0
N15,"(n,p)",3,0.0
N15,"(n,p)",4,0.0
N15,"(n,p)",5,0.0
N15,"(n,p)",6,0.0
N15,"(n,p)",7,0.0
N15,"(n,p)",8,1.473519789616159e-05
N15,"(n,a)",1,0.0
N15,"(n,a)",2,0.0
N15,"(n,a)",3,0.0
N15,"(n,a)",4,0.0
N15,"(n,a)",5,0.0
N15,"(n,a)",6,0.0
N15,"(n,a)",7,0.0
N15,"(n,a)",8,7.598936599544567e-05
N15,"(n,3n)",1,0.0
N15,"(n,3n)",2,0.0
N15,"(n,3n)",3,0.0
N15,"(n,3n)",4,0.0
N15,"(n,3n)",5,0.0
N15,"(n,3n)",6,0.0
N15,"(n,3n)",7,0.0
N15,"(n,3n)",8,0.0
N15,"(n,4n)",1,0.0
N15,"(n,4n)",2,0.0
N15,"(n,4n)",3,0.0
N15,"(n,4n)",4,0.0
N15,"(n,4n)",5,0.0
N15,"(n,4n)",6,0.0
N15,"(n,4n)",7,0.0
N15,"(n,4n)",8,0.0
N15,fission,1,0.0
N15,fission,2,0.0
N15,fission,3,0.0
N15,fission,4,0.0
N15,fission,5,0.0
N15,fission,6,0.0
N15,fission,7,0.0
N15,fission,8,0.0
O16,"(n,gamma)",1,0.00018317266429565218
O16,"(n,gamma)",2,0.0001025195034016477
O16,"(n,gamma)",3,6.910630922091691e-05
O16,"(n,gamma)",4,4.708711950616516e-05
O16,"(n,gamma)",5,2.5268042054639057e-05
O16,"(n,gamma)",6,6.182061860120777e-06
O16,"(n,gamma)",7,8.997992537773253e-05
O16,"(n,gamma)",8,0.00010103665485676877
O16,"(n,2n)",1,0.0
O16,"(n,2n)",2,0.0
O16,"(n,2n)",3,0.0
O16,"(n,2n)",4,0.0
O16,"(n,2n)",5,0.0
O16,"(n,2n)",6,0.0
O16,"(n,2n)",7,0.0
O16,"(n,2n)",8,4.63996440296895e-09
O16,"(n,p)",1,0.0
O16,"(n,p)",2,0.0
O16,"(n,p)",3,0.0
O16,"(n,p)",4,0.0
O16,"(n,p)",5,0.0
O16,"(n,p)",6,0.0
O16,"(n,p)",7,0.0
O16,"(n,p)",8,3.667735535288205e-05
O16,"(n,a)",1,0.0
O16,"(n,a)",2,0.0
O16,"(n,a)",3,0.0
O16,"(n,a)",4,0.0
O16,"(n,a)",5,0.0
O16,"(n,a)",6,0.0
O16,"(n,a)",7,0.0
O16,"(n,a)",8,0.010168442579875266
O16,"(n,3n)",1,0.0
O16,"(n,3n)",2,0.0
O16,"(n,3n)",3,0.0
O16,"(n,3n)",4,0.0
